"filename", "language", "Python", "pip requirements", "JSON", "Properties", "Markdown", "comment", "blank", "total"
"/Users/trangta/Documents/ChatBot/.VSCodeCounter/2025-06-07_20-40-03/details.md", "Markdown", 0, 0, 0, 0, 111, 0, 6, 117
"/Users/trangta/Documents/ChatBot/.VSCodeCounter/2025-06-07_20-40-03/diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 6, 15
"/Users/trangta/Documents/ChatBot/.VSCodeCounter/2025-06-07_20-40-03/diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 7, 19
"/Users/trangta/Documents/ChatBot/.VSCodeCounter/2025-06-07_20-40-03/results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/trangta/Documents/ChatBot/.VSCodeCounter/2025-06-07_20-40-03/results.md", "Markdown", 0, 0, 0, 0, 24, 0, 7, 31
"/Users/trangta/Documents/ChatBot/.env", "Properties", 0, 0, 0, 3, 0, 0, 0, 3
"/Users/trangta/Documents/ChatBot/BE/empty.py", "Python", 45, 0, 0, 0, 0, 1, 7, 53
"/Users/trangta/Documents/ChatBot/BE/fillData.py", "Python", 31, 0, 0, 0, 0, 3, 10, 44
"/Users/trangta/Documents/ChatBot/BE/roomInfor.json", "JSON", 0, 0, 140546, 0, 0, 0, 0, 140546
"/Users/trangta/Documents/ChatBot/BE/roomInfor_filled.json", "JSON", 0, 0, 140546, 0, 0, 0, 1, 140547
"/Users/trangta/Documents/ChatBot/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/trangta/Documents/ChatBot/app.py", "Python", 8, 0, 0, 0, 0, 0, 6, 14
"/Users/trangta/Documents/ChatBot/chunking.py", "Python", 99, 0, 0, 0, 0, 2, 15, 116
"/Users/trangta/Documents/ChatBot/cleaned_roomInformation.json", "JSON", 0, 0, 140546, 0, 0, 0, 0, 140546
"/Users/trangta/Documents/ChatBot/fill-data/generateRoomURLs.py", "Python", 9, 0, 0, 0, 0, 3, 4, 16
"/Users/trangta/Documents/ChatBot/fill-data/test1.py", "Python", 23, 0, 0, 0, 0, 2, 5, 30
"/Users/trangta/Documents/ChatBot/generate/RoomContentGenerator.py", "Python", 315, 0, 0, 0, 0, 23, 72, 410
"/Users/trangta/Documents/ChatBot/generated_content/generated_content_20250524_122311.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 41
"/Users/trangta/Documents/ChatBot/generated_content/generated_content_20250524_134753.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 24
"/Users/trangta/Documents/ChatBot/generated_content/generated_content_20250524_135302.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 68
"/Users/trangta/Documents/ChatBot/generated_content/generated_content_20250524_140015.json", "JSON", 0, 0, 64, 0, 0, 0, 0, 64
"/Users/trangta/Documents/ChatBot/generated_content/generated_content_20250525_165040.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 71
"/Users/trangta/Documents/ChatBot/generated_content/generated_content_20250525_165901.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 25
"/Users/trangta/Documents/ChatBot/grouped_users.json", "JSON", 0, 0, 145489, 0, 0, 0, 0, 145489
"/Users/trangta/Documents/ChatBot/handleInformation.py", "Python", 87, 0, 0, 0, 0, 21, 41, 149
"/Users/trangta/Documents/ChatBot/output_chunks.json", "JSON", 0, 0, 54450, 0, 0, 0, 1, 54451
"/Users/trangta/Documents/ChatBot/preprocess.py", "Python", 115, 0, 0, 0, 0, 152, 53, 320
"/Users/trangta/Documents/ChatBot/process_infor_document.json", "JSON", 0, 0, 50, 0, 0, 0, 0, 50
"/Users/trangta/Documents/ChatBot/requirements.txt", "pip requirements", 0, 6, 0, 0, 0, 0, 0, 6
"/Users/trangta/Documents/ChatBot/retrieval.py", "Python", 641, 0, 0, 0, 0, 56, 97, 794
"/Users/trangta/Documents/ChatBot/roomInfor.json", "JSON", 0, 0, 140546, 0, 0, 0, 0, 140546
"/Users/trangta/Documents/ChatBot/roomInformation.json", "JSON", 0, 0, 141068, 0, 0, 0, 1, 141069
"/Users/trangta/Documents/ChatBot/routes.py", "Python", 81, 0, 0, 0, 0, 5, 22, 108
"/Users/trangta/Documents/ChatBot/simplified_rooms.json", "JSON", 0, 0, 64863, 0, 0, 0, 2, 64865
"/Users/trangta/Documents/ChatBot/testtran.py", "Python", 25, 0, 0, 0, 0, 6, 7, 38
"/Users/trangta/Documents/ChatBot/train.py", "Python", 160, 0, 0, 0, 0, 7, 37, 204
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250518_215209.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250519_132931.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250519_163659.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250519_164114.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250519_164846.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250519_165842.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250519_213245.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250519_214923.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250519_220939.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250519_221544.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250520_094324.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250520_094411.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250520_151053.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250520_151250.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250520_151755.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250520_152643.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250520_152928.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250520_153046.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250521_142431.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_133925.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_134325.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_134434.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_141120.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_142036.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_143002.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_143622.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_143721.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_143821.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_144220.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_144315.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_144411.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_144549.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_150249.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_151059.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_152936.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_153020.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/trangta/Documents/ChatBot/training_data/llm_responses_20250522_153104.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 9
